Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Paxton Lynch,Denver Broncos,2016,4,"$9,476,306","$2,369,077","$8,334,083",1.5%,"$15,587,355","$3,896,839","$13,708,539"
Peyton Manning,Denver Broncos,2012,5,"$96,000,000","$19,200,000","$58,000,000",15.9%,"$203,303,483","$40,660,697","$122,829,187"
Peyton Manning,Denver Broncos,2015,2,"$34,000,000","$17,000,000","$15,000,000",11.9%,"$60,605,807","$30,302,903","$26,737,856"
Riley Neal,Denver Broncos,2020,3,"$2,293,000","$764,333","$8,000",0.4%,"$2,954,754","$984,917","$10,309"
Russell Wilson,Denver Broncos,2022,5,"$245,000,000","$49,000,000","$165,000,000",23.5%,"$300,542,747","$60,108,549","$202,406,340"
Tim Tebow,Denver Broncos,2010,5,"$11,250,000","$2,250,000","$7,690,000",1.7%,"$22,273,256","$4,454,651","$15,225,008"
Zac Dysert,Denver Broncos,2013,4,"$2,208,200","$522,050","$48,200",0.4%,"$4,585,157","$1,083,997","$100,084"
Zac Dysert,Denver Broncos,2014,1,"$170,000","$170,000",$0,0.1%,"$326,451","$326,451",$0
Austin Davis,Cleveland Browns,2015,3,"$4,173,530","$2,086,765","$600,000",1.5%,"$7,439,416","$3,719,708","$1,069,514"
Austin Davis,Cleveland Browns,2015,1,"$660,000","$660,000",$0,0.5%,"$1,176,466","$1,176,466",$0
Bailey Zappe,Cleveland Browns,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Baker Mayfield,Cleveland Browns,2018,4,"$32,682,980","$8,170,745","$32,682,980",4.6%,"$47,106,282","$11,776,570","$47,106,282"
Brandon Weeden,Cleveland Browns,2012,4,"$8,083,596","$2,020,899","$7,511,288",1.7%,"$17,118,992","$4,279,748","$15,906,990"
Brian Hoyer,Cleveland Browns,2013,2,"$1,965,000","$982,500","$250,000",0.8%,"$4,080,171","$2,040,085","$519,106"
Brogan Roback,Cleveland Browns,2018,3,"$1,711,000","$570,333","$1,000",0.3%,"$2,466,080","$822,026","$1,441"
Charlie Whitehurst,Cleveland Browns,2016,1,"$1,000,000","$1,000,000",$0,0.6%,"$1,644,877","$1,644,877",$0
Colt McCoy,Cleveland Browns,2010,4,"$2,541,000","$635,250","$751,000",0.5%,"$5,030,786","$1,257,697","$1,486,864"
Deshaun Watson,Cleveland Browns,2022,5,"$230,000,000","$46,000,000","$230,000,000",22.1%,"$282,142,171","$56,428,434","$282,142,171"
Dorian Thompson-Robinson,Cleveland Browns,2023,4,"$4,182,268","$1,045,567","$342,268",0.5%,"$4,751,562","$1,187,891","$388,858"
Drew Stanton,Cleveland Browns,2018,2,"$6,500,000","$3,250,000","$4,150,000",1.8%,"$9,368,510","$4,684,255","$5,981,433"
Eric Dungey,Cleveland Browns,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Felix Harper,Cleveland Browns,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
Garrett Gilbert,Cleveland Browns,2019,2,"$1,380,000","$690,000","$75,000",0.4%,"$1,872,752","$936,376","$101,780"
Garrett Gilbert,Cleveland Browns,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Jacob Sirmon,Cleveland Browns,2024,3,"$2,830,000","$943,333",$0,0.4%,"$2,830,000","$943,333",$0
Jacoby Brissett,Cleveland Browns,2022,1,"$4,650,000","$4,650,000","$4,500,000",2.2%,"$5,704,179","$5,704,179","$5,520,173"
Jameis Winston,Cleveland Browns,2024,1,"$4,000,000","$4,000,000","$4,000,000",1.6%,"$4,000,000","$4,000,000","$4,000,000"
Jason Campbell,Cleveland Browns,2013,2,"$3,750,000","$1,875,000","$500,000",1.5%,"$7,786,585","$3,893,293","$1,038,211"
Jeff Driskel,Cleveland Browns,2023,1,"$1,140,000","$1,140,000","$60,000",0.5%,"$1,295,178","$1,295,178","$68,167"
Joe Flacco,Cleveland Browns,2023,1,"$2,200,000","$2,200,000","$400,000",1%,"$2,499,466","$2,499,466","$454,448"
Joe Flacco,Cleveland Browns,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Joe Flacco,Cleveland Browns,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Joel Stave,Cleveland Browns,2018,1,"$480,000","$480,000",$0,0.3%,"$691,828","$691,828",$0
Johnny Manziel,Cleveland Browns,2014,4,"$8,248,596","$2,062,149","$7,707,913",1.6%,"$15,839,785","$3,959,946","$14,801,511"
Josh Johnson,Cleveland Browns,2012,1,"$700,000","$700,000",$0,0.6%,"$1,482,421","$1,482,421",$0
Josh McCown,Cleveland Browns,2015,3,"$14,000,000","$4,666,667","$6,250,000",3.3%,"$24,955,332","$8,318,445","$11,140,773"
Josh Rosen,Cleveland Browns,2022,1,"$965,000","$965,000",$0,0.5%,"$1,183,770","$1,183,770",$0
Josh Rosen,Cleveland Browns,2022,1,"$277,200","$277,200",$0,0.1%,"$340,043","$340,043",$0
Josh Woodrum,Cleveland Browns,2017,1,"$465,000","$465,000",$0,0.3%,"$711,144","$711,144",$0
Joshua Dobbs,Cleveland Browns,2022,1,"$1,187,500","$1,187,500",$0,0.6%,"$1,456,712","$1,456,712",$0
Kevin Davidson,Cleveland Browns,2020,3,"$2,292,500","$764,167","$17,500",0.4%,"$2,954,109","$984,704","$22,550"
Kevin Hogan,Cleveland Browns,2016,2,"$990,000","$495,000",$0,0.3%,"$1,628,428","$814,214",$0
Kyle Lauletta,Cleveland Browns,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Kyle Lauletta,Cleveland Browns,2021,2,"$1,675,000","$837,500",$0,0.5%,"$2,344,082","$1,172,041",$0
Kyle Lauletta,Cleveland Browns,2021,1,"$780,000","$780,000",$0,0.4%,"$1,091,573","$1,091,573",$0
Nick Mullens,Cleveland Browns,2021,1,"$920,000","$920,000",$0,0.5%,"$1,287,496","$1,287,496",$0
Nick Mullens,Cleveland Browns,2021,1,"$289,111","$289,111",$0,0.2%,"$404,597","$404,597",$0
Nick Mullens,Cleveland Browns,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Pat Devlin,Cleveland Browns,2015,1,"$585,000","$585,000",$0,0.4%,"$1,042,776","$1,042,776",$0
Phillip Walker,Cleveland Browns,2023,1,"$1,010,000","$1,010,000",$0,0.4%,"$1,147,482","$1,147,482",$0
Phillip Walker,Cleveland Browns,2023,1,"$1,010,000","$1,010,000",$0,0.4%,"$1,147,482","$1,147,482",$0
Phillip Walker,Cleveland Browns,2023,1,"$477,333","$477,333",$0,0.2%,"$542,308","$542,308",$0
Phillip Walker,Cleveland Browns,2023,1,"$441,822","$441,822",$0,0.2%,"$501,963","$501,963",$0
Phillip Walker,Cleveland Browns,2023,1,"$406,311","$406,311",$0,0.2%,"$461,618","$461,618",$0
Phillip Walker,Cleveland Browns,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Phillip Walker,Cleveland Browns,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Robert Griffin III,Cleveland Browns,2016,2,"$15,000,000","$7,500,000","$6,750,000",4.8%,"$24,673,150","$12,336,575","$11,102,917"
Tyler Huntley,Cleveland Browns,2024,1,"$1,292,500","$1,292,500","$469,900",0.5%,"$1,292,500","$1,292,500","$469,900"
Vince Young,Cleveland Browns,2014,1,"$855,000","$855,000",$0,0.6%,"$1,641,857","$1,641,857",$0
Adam Weber,Tampa Bay Buccaneers,2012,1,"$96,900","$96,900",$0,0.1%,"$205,209","$205,209",$0
Adam Weber,Tampa Bay Buccaneers,2013,1,"$405,000","$405,000",$0,0.3%,"$840,951","$840,951",$0
Austin Allen,Tampa Bay Buccaneers,2018,3,"$1,725,000","$575,000","$50,000",0.3%,"$2,486,258","$828,753","$72,065"
Baker Mayfield,Tampa Bay Buccaneers,2023,1,"$4,000,000","$4,000,000","$4,000,000",1.8%,"$4,544,484","$4,544,484","$4,544,484"
Baker Mayfield,Tampa Bay Buccaneers,2024,3,"$100,000,000","$33,333,333","$50,000,000",13.1%,"$100,000,000","$33,333,333","$50,000,000"
Blaine Gabbert,Tampa Bay Buccaneers,2019,1,"$1,600,000","$1,600,000","$500,000",0.9%,"$2,171,307","$2,171,307","$678,533"
Blaine Gabbert,Tampa Bay Buccaneers,2020,1,"$1,187,500","$1,187,500","$887,500",0.6%,"$1,530,209","$1,530,209","$1,143,630"
Blaine Gabbert,Tampa Bay Buccaneers,2021,1,"$2,000,000","$2,000,000","$1,500,000",1.1%,"$2,798,904","$2,798,904","$2,099,178"
Blaine Gabbert,Tampa Bay Buccaneers,2022,1,"$2,250,000","$2,250,000","$1,750,000",1.1%,"$2,760,086","$2,760,086","$2,146,734"
Dan LeFevour,Tampa Bay Buccaneers,2016,1,"$600,000","$600,000",$0,0.4%,"$986,926","$986,926",$0
Drew Stanton,Tampa Bay Buccaneers,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Jameis Winston,Tampa Bay Buccaneers,2015,4,"$25,351,277","$6,337,819","$25,351,277",4.4%,"$45,189,253","$11,297,313","$45,189,253"
Joe Callahan,Tampa Bay Buccaneers,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
John Wolford,Tampa Bay Buccaneers,2023,1,"$1,010,000","$1,010,000",$0,0.4%,"$1,147,482","$1,147,482",$0
John Wolford,Tampa Bay Buccaneers,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
John Wolford,Tampa Bay Buccaneers,2024,1,"$1,292,500","$1,292,500","$567,500",0.5%,"$1,292,500","$1,292,500","$567,500"
Jordan Rodgers,Tampa Bay Buccaneers,2013,1,"$102,000","$102,000",$0,0.1%,"$211,795","$211,795",$0
Josh McCown,Tampa Bay Buccaneers,2014,2,"$10,000,000","$5,000,000","$4,750,000",3.8%,"$19,203,008","$9,601,504","$9,121,429"
Josh Rosen,Tampa Bay Buccaneers,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Kyle Trask,Tampa Bay Buccaneers,2021,4,"$5,535,336","$1,383,834","$2,957,306",0.8%,"$7,746,437","$1,936,609","$4,138,608"
Michael Pratt,Tampa Bay Buccaneers,2024,1,"$256,667","$256,667",$0,0.1%,"$256,667","$256,667",$0
Michael Pratt,Tampa Bay Buccaneers,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Mike Glennon,Tampa Bay Buccaneers,2013,4,"$3,104,063","$776,016","$637,500",0.6%,"$6,445,347","$1,611,337","$1,323,720"
Nick Fitzgerald,Tampa Bay Buccaneers,2019,3,"$1,770,000","$590,000","$30,000",0.3%,"$2,402,009","$800,670","$40,712"
Nick Fitzgerald,Tampa Bay Buccaneers,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Reid Sinnett,Tampa Bay Buccaneers,2020,3,"$2,295,000","$765,000","$152,800",0.4%,"$2,957,331","$985,777","$196,898"
Reid Sinnett,Tampa Bay Buccaneers,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Ryan Fitzpatrick,Tampa Bay Buccaneers,2017,1,"$3,000,000","$3,000,000","$1,250,000",1.8%,"$4,588,024","$4,588,024","$1,911,677"
Ryan Fitzpatrick,Tampa Bay Buccaneers,2018,1,"$3,300,000","$3,300,000","$1,300,000",1.9%,"$4,756,321","$4,756,321","$1,873,702"
Ryan Griffin,Tampa Bay Buccaneers,2017,1,"$1,797,000","$1,797,000",$0,1.1%,"$2,748,226","$2,748,226",$0
Ryan Griffin,Tampa Bay Buccaneers,2017,2,"$2,550,000","$1,275,000",$0,0.8%,"$3,899,820","$1,949,910",$0
Ryan Griffin,Tampa Bay Buccaneers,2019,2,"$2,900,000","$1,450,000","$450,000",0.8%,"$3,935,494","$1,967,747","$610,680"
Ryan Griffin,Tampa Bay Buccaneers,2021,1,"$1,150,000","$1,150,000",$0,0.6%,"$1,609,370","$1,609,370",$0
Ryan Griffin,Tampa Bay Buccaneers,2022,1,"$1,195,000","$1,195,000","$75,000",0.6%,"$1,465,913","$1,465,913","$92,003"
Ryan Griffin,Tampa Bay Buccaneers,2022,1,"$358,200","$358,200",$0,0.2%,"$439,406","$439,406",$0
Sean Renfree,Tampa Bay Buccaneers,2017,1,"$635,000","$635,000","$20,000",0.4%,"$971,132","$971,132","$30,587"
Sefo Liufau,Tampa Bay Buccaneers,2017,3,"$1,665,000","$555,000","$10,000",0.3%,"$2,546,353","$848,784","$15,293"
Seth Lobato,Tampa Bay Buccaneers,2015,2,"$960,000","$480,000",$0,0.3%,"$1,711,223","$855,611",$0
Tom Brady,Tampa Bay Buccaneers,2020,2,"$50,000,000","$25,000,000","$50,000,000",12.6%,"$64,429,869","$32,214,934","$64,429,869"
Tom Brady,Tampa Bay Buccaneers,2021,1,"$25,000,000","$25,000,000","$25,000,000",13.7%,"$34,986,301","$34,986,301","$34,986,301"
Vincent Testaverde,Tampa Bay Buccaneers,2019,3,"$1,755,000","$585,000",$0,0.3%,"$2,381,652","$793,884",$0
Vincent Testaverde,Tampa Bay Buccaneers,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Zack Annexstad,Tampa Bay Buccaneers,2024,3,"$2,833,000","$944,333","$3,000",0.4%,"$2,833,000","$944,333","$3,000"
Ben DiNucci,Buffalo Bills,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Cardale Jones,Buffalo Bills,2016,4,"$2,723,392","$680,848","$383,392",0.4%,"$4,479,644","$1,119,911","$630,633"
Case Keenum,Buffalo Bills,2022,1,"$3,500,000","$3,500,000","$2,000,000",1.7%,"$4,293,468","$4,293,468","$2,453,410"
Davis Webb,Buffalo Bills,2019,1,"$170,000","$170,000",$0,0.1%,"$230,701","$230,701",$0
Davis Webb,Buffalo Bills,2020,2,"$1,421,000","$710,500","$11,000",0.4%,"$1,831,097","$915,548","$14,175"
Davis Webb,Buffalo Bills,2020,1,"$178,518","$178,518",$0,0.1%,"$230,038","$230,038",$0
Davis Webb,Buffalo Bills,2021,2,"$1,815,000","$907,500",$0,0.5%,"$2,540,005","$1,270,003",$0
Davis Webb,Buffalo Bills,2021,1,"$203,622","$203,622",$0,0.1%,"$284,959","$284,959",$0
Davis Webb,Buffalo Bills,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Derek Anderson,Buffalo Bills,2018,1,"$1,073,530","$1,073,530","$58,530",0.6%,"$1,547,289","$1,547,289","$84,360"
Derek Anderson,Buffalo Bills,2019,1,"$1,120,000","$1,120,000","$90,000",0.6%,"$1,519,915","$1,519,915","$122,136"
E.J. Manuel,Buffalo Bills,2013,4,"$8,885,300","$2,221,325","$8,885,300",1.8%,"$18,449,639","$4,612,410","$18,449,639"
Jake Fromm,Buffalo Bills,2020,4,"$3,597,960","$899,490","$302,960",0.5%,"$4,636,322","$1,159,080","$390,393"
Jake Fromm,Buffalo Bills,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Josh Allen,Buffalo Bills,2018,4,"$21,183,034","$5,295,759","$21,183,034",3%,"$30,531,303","$7,632,826","$30,531,303"
Josh Allen,Buffalo Bills,2021,6,"$258,000,000","$43,000,000","$150,000,000",23.6%,"$361,058,630","$60,176,438","$209,917,808"
Josh Woodrum,Buffalo Bills,2017,2,"$1,020,000","$510,000",$0,0.3%,"$1,559,928","$779,964",$0
Keith Wenning,Buffalo Bills,2017,1,"$540,000","$540,000",$0,0.3%,"$825,844","$825,844",$0
Kevin Kolb,Buffalo Bills,2013,2,"$6,100,000","$3,050,000","$1,000,000",2.5%,"$12,666,179","$6,333,089","$2,076,423"
Kyle Allen,Buffalo Bills,2023,1,"$1,232,500","$1,232,500","$350,000",0.5%,"$1,400,269","$1,400,269","$397,642"
Kyle Orton,Buffalo Bills,2014,2,"$11,000,000","$5,500,000","$3,000,000",4.1%,"$21,123,308","$10,561,654","$5,760,902"
Matt Barkley,Buffalo Bills,2018,2,"$4,000,000","$2,000,000","$600,000",1.1%,"$5,765,237","$2,882,619","$864,786"
Matt Barkley,Buffalo Bills,2018,1,"$790,000","$790,000",$0,0.4%,"$1,138,634","$1,138,634",$0
Matt Barkley,Buffalo Bills,2022,1,"$1,145,000","$1,145,000","$125,000",0.5%,"$1,404,577","$1,404,577","$153,338"
Matt Barkley,Buffalo Bills,2022,1,"$358,200","$358,200",$0,0.2%,"$439,406","$439,406",$0
Matt Barkley,Buffalo Bills,2023,1,"$1,250,200","$1,250,200","$235,200",0.6%,"$1,420,378","$1,420,378","$267,216"
Matt Cassel,Buffalo Bills,2015,1,"$2,000,000","$2,000,000",$0,1.4%,"$3,565,047","$3,565,047",$0
Matt Leinart,Buffalo Bills,2013,1,"$840,000","$840,000",$0,0.7%,"$1,744,195","$1,744,195",$0
Mike White,Buffalo Bills,2024,1,"$424,600","$424,600",$0,0.2%,"$424,600","$424,600",$0
Mike White,Buffalo Bills,2024,1,"$383,400","$383,400",$0,0.2%,"$383,400","$383,400",$0
Mitchell Trubisky,Buffalo Bills,2021,1,"$2,500,000","$2,500,000","$2,000,000",1.4%,"$3,498,630","$3,498,630","$2,798,904"
Mitchell Trubisky,Buffalo Bills,2024,2,"$5,250,000","$2,625,000","$3,710,000",1%,"$5,250,000","$2,625,000","$3,710,000"
Nathan Peterman,Buffalo Bills,2017,4,"$2,639,508","$659,877","$239,508",0.4%,"$4,036,709","$1,009,177","$366,289"
Ryan Fitzpatrick,Buffalo Bills,2011,6,"$59,000,000","$9,833,333","$24,000,000",8.2%,"$125,180,478","$20,863,412","$50,920,872"
Shane Buechele,Buffalo Bills,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Shane Buechele,Buffalo Bills,2024,1,"$1,025,000","$1,025,000","$40,000",0.4%,"$1,025,000","$1,025,000","$40,000"
T.J. Yates,Buffalo Bills,2017,1,"$855,000","$855,000",$0,0.5%,"$1,307,587","$1,307,587",$0
Tyree Jackson,Buffalo Bills,2019,3,"$1,770,000","$590,000","$75,000",0.3%,"$2,402,009","$800,670","$101,780"
Tyrod Taylor,Buffalo Bills,2015,3,"$3,350,000","$1,116,667","$1,150,000",0.8%,"$5,971,454","$1,990,485","$2,049,902"
Tyrod Taylor,Buffalo Bills,2016,5,"$90,000,000","$18,000,000","$37,000,000",11.6%,"$148,038,900","$29,607,780","$60,860,437"
Vince Young,Buffalo Bills,2012,1,"$2,000,000","$2,000,000","$350,000",1.7%,"$4,235,489","$4,235,489","$741,211"
Aaron Murray,Arizona Cardinals,2016,1,"$117,300","$117,300",$0,0.1%,"$192,944","$192,944",$0
Blaine Gabbert,Arizona Cardinals,2017,1,"$855,000","$855,000","$80,000",0.5%,"$1,307,587","$1,307,587","$122,347"
Brett Hundley,Arizona Cardinals,2019,1,"$1,875,000","$1,875,000","$750,000",1%,"$2,544,501","$2,544,501","$1,017,800"
Brett Hundley,Arizona Cardinals,2020,1,"$1,047,500","$1,047,500","$887,500",0.5%,"$1,349,806","$1,349,806","$1,143,630"
Brian Hoyer,Arizona Cardinals,2013,1,"$2,023,000","$2,023,000",$0,1.6%,"$4,200,603","$4,200,603",$0
Carson Palmer,Arizona Cardinals,2013,2,"$17,000,000","$8,500,000","$10,000,000",6.9%,"$35,299,187","$17,649,593","$20,764,228"
Carson Palmer,Arizona Cardinals,2014,3,"$49,500,000","$16,500,000","$24,735,294",12.4%,"$95,054,887","$31,684,962","$47,499,204"
Carson Palmer,Arizona Cardinals,2016,1,"$21,000,000","$21,000,000","$27,150,000",13.5%,"$34,542,410","$34,542,410","$44,658,401"
Carson Strong,Arizona Cardinals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Chad Kanoff,Arizona Cardinals,2018,3,"$1,712,000","$570,667","$2,000",0.3%,"$2,467,521","$822,508","$2,883"
Chad Kanoff,Arizona Cardinals,2018,2,"$1,050,000","$525,000",$0,0.3%,"$1,513,375","$756,687",$0
Chad Kanoff,Arizona Cardinals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chad Kanoff,Arizona Cardinals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chad Kanoff,Arizona Cardinals,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Chandler Harnish,Arizona Cardinals,2015,1,"$510,000","$510,000",$0,0.4%,"$909,087","$909,087",$0
Chris Streveler,Arizona Cardinals,2020,3,"$1,800,000","$600,000",$0,0.3%,"$2,319,475","$773,158",$0
Clayton Tune,Arizona Cardinals,2023,4,"$4,190,624","$1,047,656","$350,624",0.5%,"$4,761,056","$1,190,264","$398,351"
Cole McDonald,Arizona Cardinals,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Colt McCoy,Arizona Cardinals,2021,1,"$1,212,500","$1,212,500","$137,500",0.7%,"$1,696,836","$1,696,836","$192,425"
Colt McCoy,Arizona Cardinals,2022,2,"$7,500,000","$3,250,000","$6,000,000",1.6%,"$9,200,288","$3,986,792","$7,360,231"
David Blough,Arizona Cardinals,2022,1,"$965,000","$965,000",$0,0.5%,"$1,183,770","$1,183,770",$0
David Blough,Arizona Cardinals,2023,1,"$1,232,500","$1,232,500","$76,250",0.5%,"$1,400,269","$1,400,269","$86,629"
Derek Anderson,Arizona Cardinals,2010,2,"$7,250,000","$3,625,000","$2,500,000",2.8%,"$14,353,876","$7,176,938","$4,949,612"
Desmond Ridder,Arizona Cardinals,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Drew Anderson,Arizona Cardinals,2019,3,"$1,762,000","$587,333","$7,000",0.3%,"$2,391,152","$797,050","$9,499"
Drew Anderson,Arizona Cardinals,2019,2,"$1,005,000","$502,500",$0,0.3%,"$1,363,852","$681,926",$0
Drew Anderson,Arizona Cardinals,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Drew Anderson,Arizona Cardinals,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Drew Stanton,Arizona Cardinals,2016,2,"$6,500,000","$3,250,000","$4,500,000",2.1%,"$10,691,698","$5,345,849","$7,401,945"
